Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,Home_Win
Sat Nov 6 2010,7:00p,Cleveland Cavaliers,107,Washington Wizards,102,Box Score,,14442,,0
Sat Nov 6 2010,7:30p,New Jersey Nets,89,Miami Heat,101,Box Score,,19600,,1
Sat Nov 6 2010,8:30p,New Orleans Hornets,87,Milwaukee Bucks,81,Box Score,,16731,,0
Sat Nov 6 2010,8:30p,Houston Rockets,121,San Antonio Spurs,124,Box Score,OT,17740,,1
Sat Nov 6 2010,9:00p,Denver Nuggets,103,Dallas Mavericks,92,Box Score,,19948,,0
Sat Nov 6 2010,9:00p,Los Angeles Clippers,107,Utah Jazz,109,Box Score,2OT,19911,,1
Sat Nov 6 2010,10:00p,Toronto Raptors,84,Portland Trail Blazers,97,Box Score,,20363,,1
Sat Nov 6 2010,10:00p,Memphis Grizzlies,100,Sacramento Kings,91,Box Score,,14085,,0
Sun Nov 7 2010,12:00p,Philadelphia 76ers,106,New York Knicks,96,Box Score,,18735,,0
Sun Nov 7 2010,5:00p,Phoenix Suns,118,Atlanta Hawks,114,Box Score,,13395,,0
Sun Nov 7 2010,6:00p,Golden State Warriors,97,Detroit Pistons,102,Box Score,,12813,,1
Sun Nov 7 2010,7:00p,Minnesota Timberwolves,94,Houston Rockets,120,Box Score,,15058,,1
Sun Nov 7 2010,7:00p,Boston Celtics,92,Oklahoma City Thunder,83,Box Score,,18203,,0
Sun Nov 7 2010,9:30p,Portland Trail Blazers,96,Los Angeles Lakers,121,Box Score,,18997,,1
Mon Nov 8 2010,7:00p,San Antonio Spurs,95,Charlotte Bobcats,91,Box Score,,14152,,0
Mon Nov 8 2010,7:00p,Atlanta Hawks,89,Orlando Magic,93,Box Score,,18846,,1
Mon Nov 8 2010,7:00p,Golden State Warriors,109,Toronto Raptors,102,Box Score,,14127,,0
Mon Nov 8 2010,8:00p,Denver Nuggets,92,Chicago Bulls,94,Box Score,,21355,,1
Mon Nov 8 2010,8:00p,Phoenix Suns,99,Memphis Grizzlies,109,Box Score,,10786,,1
Mon Nov 8 2010,8:30p,Boston Celtics,87,Dallas Mavericks,89,Box Score,,20194,,1
Tue Nov 9 2010,7:00p,Denver Nuggets,113,Indiana Pacers,144,Box Score,,11122,,1
Tue Nov 9 2010,7:00p,Cleveland Cavaliers,93,New Jersey Nets,91,Box Score,,10188,,0
Tue Nov 9 2010,7:30p,Utah Jazz,116,Miami Heat,114,Box Score,OT,19600,,0
Tue Nov 9 2010,8:00p,New York Knicks,80,Milwaukee Bucks,107,Box Score,,13286,,1
Tue Nov 9 2010,8:00p,Los Angeles Clippers,82,New Orleans Hornets,101,Box Score,,12479,,1
Tue Nov 9 2010,10:00p,Detroit Pistons,78,Portland Trail Blazers,100,Box Score,,20556,,1
Tue Nov 9 2010,10:30p,Minnesota Timberwolves,94,Los Angeles Lakers,99,Box Score,,18997,,1
