Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,Home_Win
Mon Mar 25 2013,7:00p,Miami Heat,108,Orlando Magic,94,Box Score,,18846,,0
Mon Mar 25 2013,7:00p,Memphis Grizzlies,94,Washington Wizards,107,Box Score,,17868,,1
Mon Mar 25 2013,8:00p,Denver Nuggets,86,New Orleans Hornets,110,Box Score,,11185,,1
Mon Mar 25 2013,9:00p,Philadelphia 76ers,91,Utah Jazz,107,Box Score,,17336,,1
Mon Mar 25 2013,10:30p,Los Angeles Lakers,103,Golden State Warriors,109,Box Score,,19596,,1
Tue Mar 26 2013,7:00p,New York Knicks,100,Boston Celtics,85,Box Score,,18624,,0
Tue Mar 26 2013,7:30p,Minnesota Timberwolves,105,Detroit Pistons,82,Box Score,,16877,,0
Tue Mar 26 2013,9:30p,Los Angeles Clippers,102,Dallas Mavericks,109,Box Score,OT,20291,,1
Wed Mar 27 2013,7:00p,Orlando Magic,108,Charlotte Bobcats,114,Box Score,,11839,,1
Wed Mar 27 2013,7:00p,Boston Celtics,93,Cleveland Cavaliers,92,Box Score,,17130,,0
Wed Mar 27 2013,7:00p,Milwaukee Bucks,92,Philadelphia 76ers,100,Box Score,,16640,,1
Wed Mar 27 2013,7:00p,Atlanta Hawks,107,Toronto Raptors,88,Box Score,,18206,,0
Wed Mar 27 2013,7:30p,Memphis Grizzlies,101,New York Knicks,108,Box Score,,19033,,1
Wed Mar 27 2013,8:00p,Miami Heat,97,Chicago Bulls,101,Box Score,,23014,,1
Wed Mar 27 2013,8:00p,Indiana Pacers,100,Houston Rockets,91,Box Score,,18134,,0
Wed Mar 27 2013,8:00p,Los Angeles Lakers,120,Minnesota Timberwolves,117,Box Score,,18029,,0
Wed Mar 27 2013,8:00p,Los Angeles Clippers,105,New Orleans Hornets,91,Box Score,,15128,,0
Wed Mar 27 2013,8:00p,Washington Wizards,80,Oklahoma City Thunder,103,Box Score,,18203,,1
Wed Mar 27 2013,8:30p,Denver Nuggets,99,San Antonio Spurs,100,Box Score,,18581,,1
Wed Mar 27 2013,9:00p,Phoenix Suns,88,Utah Jazz,103,Box Score,,16949,,1
Wed Mar 27 2013,10:30p,Sacramento Kings,105,Golden State Warriors,98,Box Score,,19596,,0
Wed Mar 27 2013,10:30p,Brooklyn Nets,111,Portland Trail Blazers,93,Box Score,,20127,,0
Thu Mar 28 2013,8:00p,Los Angeles Lakers,103,Milwaukee Bucks,113,Box Score,,16884,,1
Thu Mar 28 2013,8:30p,Indiana Pacers,103,Dallas Mavericks,78,Box Score,,20037,,0
Thu Mar 28 2013,10:00p,Sacramento Kings,117,Phoenix Suns,103,Box Score,,15086,,0
Fri Mar 29 2013,7:00p,Washington Wizards,92,Orlando Magic,97,Box Score,,17998,,1
Fri Mar 29 2013,7:30p,Atlanta Hawks,107,Boston Celtics,118,Box Score,,18624,,1
Fri Mar 29 2013,7:30p,Philadelphia 76ers,97,Cleveland Cavaliers,87,Box Score,,17324,,0
Fri Mar 29 2013,7:30p,Toronto Raptors,99,Detroit Pistons,82,Box Score,,19322,,0
Fri Mar 29 2013,7:30p,Charlotte Bobcats,102,New York Knicks,111,Box Score,,19033,,1
Fri Mar 29 2013,8:00p,Houston Rockets,94,Memphis Grizzlies,103,Box Score,,18119,,1
Fri Mar 29 2013,8:00p,Oklahoma City Thunder,93,Minnesota Timberwolves,101,Box Score,,18121,,1
Fri Mar 29 2013,8:00p,Miami Heat,108,New Orleans Hornets,89,Box Score,,18647,,0
Fri Mar 29 2013,8:30p,Los Angeles Clippers,102,San Antonio Spurs,104,Box Score,,18581,,1
Fri Mar 29 2013,9:00p,Brooklyn Nets,87,Denver Nuggets,109,Box Score,,19155,,1
Fri Mar 29 2013,10:00p,Utah Jazz,105,Portland Trail Blazers,95,Box Score,,19527,,0
Sat Mar 30 2013,2:00p,Chicago Bulls,98,Dallas Mavericks,100,Box Score,,20502,,1
Sat Mar 30 2013,7:00p,Orlando Magic,88,Atlanta Hawks,97,Box Score,,17152,,1
Sat Mar 30 2013,8:00p,Los Angeles Clippers,81,Houston Rockets,98,Box Score,,18303,,1
Sat Mar 30 2013,8:00p,Memphis Grizzlies,99,Minnesota Timberwolves,86,Box Score,,13680,,0
Sat Mar 30 2013,8:00p,Charlotte Bobcats,92,Philadelphia 76ers,100,Box Score,,16764,,1
Sat Mar 30 2013,8:30p,Oklahoma City Thunder,109,Milwaukee Bucks,99,Box Score,,17578,,0
Sat Mar 30 2013,9:00p,Brooklyn Nets,107,Utah Jazz,116,Box Score,,18008,,1
Sat Mar 30 2013,10:00p,Indiana Pacers,112,Phoenix Suns,104,Box Score,,17090,,0
Sat Mar 30 2013,10:00p,Los Angeles Lakers,103,Sacramento Kings,98,Box Score,,17317,,0
Sat Mar 30 2013,10:30p,Portland Trail Blazers,98,Golden State Warriors,125,Box Score,,19596,,1
Sun Mar 31 2013,6:00p,Cleveland Cavaliers,92,New Orleans Hornets,112,Box Score,,11008,,1
Sun Mar 31 2013,6:00p,Toronto Raptors,92,Washington Wizards,109,Box Score,,14360,,1
Sun Mar 31 2013,7:00p,Detroit Pistons,94,Chicago Bulls,95,Box Score,,21864,,1
Sun Mar 31 2013,7:00p,Miami Heat,88,San Antonio Spurs,86,Box Score,,18581,,0
Sun Mar 31 2013,7:30p,Boston Celtics,89,New York Knicks,108,Box Score,,19033,,1
Mon Apr 1 2013,7:00p,Detroit Pistons,108,Toronto Raptors,98,Box Score,,17115,,0
Mon Apr 1 2013,7:30p,Cleveland Cavaliers,94,Atlanta Hawks,102,Box Score,,13026,,1
Mon Apr 1 2013,8:00p,Orlando Magic,103,Houston Rockets,111,Box Score,,16273,,1
Mon Apr 1 2013,8:00p,San Antonio Spurs,90,Memphis Grizzlies,92,Box Score,,16642,,1
Mon Apr 1 2013,8:00p,Charlotte Bobcats,102,Milwaukee Bucks,131,Box Score,,15315,,1
Mon Apr 1 2013,8:00p,Boston Celtics,100,Minnesota Timberwolves,110,Box Score,,14546,,1
Mon Apr 1 2013,9:00p,Portland Trail Blazers,102,Utah Jazz,112,Box Score,,18336,,1
Mon Apr 1 2013,10:30p,Indiana Pacers,109,Los Angeles Clippers,106,Box Score,,19384,,0
Tue Apr 2 2013,7:00p,Chicago Bulls,86,Washington Wizards,90,Box Score,,17319,,1
Tue Apr 2 2013,8:00p,New York Knicks,102,Miami Heat,90,Box Score,,20300,,0
Tue Apr 2 2013,10:30p,Dallas Mavericks,81,Los Angeles Lakers,101,Box Score,,18997,,1
Wed Apr 3 2013,7:00p,New York Knicks,95,Atlanta Hawks,82,Box Score,,17404,,0
Wed Apr 3 2013,7:00p,Philadelphia 76ers,83,Charlotte Bobcats,88,Box Score,,13097,,1
Wed Apr 3 2013,7:00p,Brooklyn Nets,113,Cleveland Cavaliers,95,Box Score,,14863,,0
Wed Apr 3 2013,7:00p,Washington Wizards,78,Toronto Raptors,88,Box Score,,15783,,1
Wed Apr 3 2013,7:30p,Detroit Pistons,93,Boston Celtics,98,Box Score,,18624,,1
Wed Apr 3 2013,8:00p,Minnesota Timberwolves,107,Milwaukee Bucks,98,Box Score,,15386,,0
Wed Apr 3 2013,8:30p,Orlando Magic,84,San Antonio Spurs,98,Box Score,,18581,,1
Wed Apr 3 2013,9:00p,Denver Nuggets,113,Utah Jazz,96,Box Score,,17654,,0
Wed Apr 3 2013,10:00p,Memphis Grizzlies,94,Portland Trail Blazers,76,Box Score,,19275,,0
Wed Apr 3 2013,10:00p,Houston Rockets,112,Sacramento Kings,102,Box Score,,12377,,0
Wed Apr 3 2013,10:30p,New Orleans Hornets,88,Golden State Warriors,98,Box Score,,19596,,1
Wed Apr 3 2013,10:30p,Phoenix Suns,101,Los Angeles Clippers,126,Box Score,,19137,,1
Thu Apr 4 2013,7:00p,Chicago Bulls,92,Brooklyn Nets,90,Box Score,,17732,,0
Thu Apr 4 2013,9:00p,Dallas Mavericks,94,Denver Nuggets,95,Box Score,,19155,,1
Thu Apr 4 2013,9:30p,San Antonio Spurs,88,Oklahoma City Thunder,100,Box Score,,18203,,1
Fri Apr 5 2013,7:30p,Philadelphia 76ers,101,Atlanta Hawks,90,Box Score,,17020,,0
Fri Apr 5 2013,7:30p,Cleveland Cavaliers,97,Boston Celtics,91,Box Score,,18624,,0
Fri Apr 5 2013,7:30p,Milwaukee Bucks,83,New York Knicks,101,Box Score,,19033,,1
Fri Apr 5 2013,8:00p,Miami Heat,89,Charlotte Bobcats,79,Box Score,,19568,,0
Fri Apr 5 2013,8:00p,Orlando Magic,86,Chicago Bulls,87,Box Score,,22268,,1
Fri Apr 5 2013,8:00p,Oklahoma City Thunder,97,Indiana Pacers,75,Box Score,,18165,,0
Fri Apr 5 2013,8:00p,Toronto Raptors,95,Minnesota Timberwolves,93,Box Score,,16661,,0
Fri Apr 5 2013,9:00p,New Orleans Hornets,83,Utah Jazz,95,Box Score,,18023,,1
Fri Apr 5 2013,10:00p,Golden State Warriors,111,Phoenix Suns,107,Box Score,,18422,,0
Fri Apr 5 2013,10:00p,Dallas Mavericks,117,Sacramento Kings,108,Box Score,,13903,,0
Fri Apr 5 2013,10:30p,Memphis Grizzlies,84,Los Angeles Lakers,86,Box Score,,18997,,1
Fri Apr 5 2013,10:30p,Houston Rockets,116,Portland Trail Blazers,98,Box Score,,20400,,0
Sat Apr 6 2013,7:00p,Indiana Pacers,85,Washington Wizards,104,Box Score,,19360,,1
Sat Apr 6 2013,7:30p,Charlotte Bobcats,96,Brooklyn Nets,105,Box Score,,17444,,1
Sat Apr 6 2013,7:30p,Philadelphia 76ers,87,Miami Heat,106,Box Score,,20168,,1
Sat Apr 6 2013,8:00p,Detroit Pistons,101,Minnesota Timberwolves,107,Box Score,,15311,,1
Sat Apr 6 2013,8:30p,Toronto Raptors,83,Milwaukee Bucks,100,Box Score,,16746,,1
Sat Apr 6 2013,8:30p,Atlanta Hawks,97,San Antonio Spurs,99,Box Score,,18581,,1
Sat Apr 6 2013,9:00p,Houston Rockets,114,Denver Nuggets,132,Box Score,,19155,,1
Sun Apr 7 2013,1:00p,New York Knicks,125,Oklahoma City Thunder,120,Box Score,,18203,,0
Sun Apr 7 2013,3:30p,Los Angeles Lakers,95,Los Angeles Clippers,109,Box Score,,19768,,1
Sun Apr 7 2013,6:00p,Washington Wizards,96,Boston Celtics,107,Box Score,,18624,,1
Sun Apr 7 2013,6:00p,Orlando Magic,85,Cleveland Cavaliers,91,Box Score,,16341,,1
Sun Apr 7 2013,6:00p,Memphis Grizzlies,89,Sacramento Kings,87,Box Score,,15205,,0
Sun Apr 7 2013,7:30p,Chicago Bulls,85,Detroit Pistons,99,Box Score,,19577,,1
Sun Apr 7 2013,8:00p,Utah Jazz,97,Golden State Warriors,90,Box Score,,19596,,0
Sun Apr 7 2013,9:00p,New Orleans Hornets,95,Phoenix Suns,92,Box Score,,16780,,0
Sun Apr 7 2013,9:00p,Dallas Mavericks,96,Portland Trail Blazers,91,Box Score,,20228,,0
Tue Apr 9 2013,7:00p,Cleveland Cavaliers,94,Indiana Pacers,99,Box Score,,15279,,1
Tue Apr 9 2013,7:30p,Philadelphia 76ers,83,Brooklyn Nets,104,Box Score,,17192,,1
Tue Apr 9 2013,7:30p,Milwaukee Bucks,83,Miami Heat,94,Box Score,,19834,,1
Tue Apr 9 2013,7:30p,Washington Wizards,99,New York Knicks,120,Box Score,,19033,,1
Tue Apr 9 2013,8:00p,Toronto Raptors,101,Chicago Bulls,98,Box Score,,21487,,0
Tue Apr 9 2013,8:00p,Phoenix Suns,98,Houston Rockets,101,Box Score,,16673,,1
Tue Apr 9 2013,8:00p,Charlotte Bobcats,75,Memphis Grizzlies,94,Box Score,,16591,,1
Tue Apr 9 2013,9:00p,Oklahoma City Thunder,90,Utah Jazz,80,Box Score,,19610,,0
Tue Apr 9 2013,10:30p,Minnesota Timberwolves,89,Golden State Warriors,105,Box Score,,19596,,1
Tue Apr 9 2013,10:30p,New Orleans Hornets,96,Los Angeles Lakers,104,Box Score,,18997,,1
Wed Apr 10 2013,7:00p,Detroit Pistons,111,Cleveland Cavaliers,104,Box Score,,13844,,0
Wed Apr 10 2013,7:00p,Milwaukee Bucks,103,Orlando Magic,113,Box Score,OT,17127,,1
Wed Apr 10 2013,7:00p,Atlanta Hawks,124,Philadelphia 76ers,101,Box Score,,17178,,0
Wed Apr 10 2013,7:00p,Miami Heat,103,Washington Wizards,98,Box Score,,20308,,0
Wed Apr 10 2013,8:00p,Brooklyn Nets,101,Boston Celtics,93,Box Score,,18624,,0
Wed Apr 10 2013,8:30p,Phoenix Suns,102,Dallas Mavericks,91,Box Score,,19725,,0
Wed Apr 10 2013,10:00p,Los Angeles Lakers,113,Portland Trail Blazers,106,Box Score,,20598,,0
Wed Apr 10 2013,10:00p,New Orleans Hornets,110,Sacramento Kings,121,Box Score,,14275,,1
Wed Apr 10 2013,10:30p,San Antonio Spurs,86,Denver Nuggets,96,Box Score,,16651,,1
Wed Apr 10 2013,10:30p,Minnesota Timberwolves,95,Los Angeles Clippers,111,Box Score,,19060,,1
Thu Apr 11 2013,8:00p,New York Knicks,111,Chicago Bulls,118,Box Score,OT,22464,,1
Thu Apr 11 2013,10:30p,Oklahoma City Thunder,116,Golden State Warriors,97,Box Score,,19596,,0
Fri Apr 12 2013,7:00p,Brooklyn Nets,117,Indiana Pacers,109,Box Score,,18165,,0
Fri Apr 12 2013,7:00p,Chicago Bulls,88,Toronto Raptors,97,Box Score,,19800,,1
Fri Apr 12 2013,7:00p,Philadelphia 76ers,97,Washington Wizards,86,Box Score,,18476,,0
Fri Apr 12 2013,7:30p,Milwaukee Bucks,104,Atlanta Hawks,109,Box Score,,16908,,1
Fri Apr 12 2013,7:30p,New York Knicks,101,Cleveland Cavaliers,91,Box Score,,19430,,0
Fri Apr 12 2013,7:30p,Charlotte Bobcats,93,Detroit Pistons,113,Box Score,,19501,,1
Fri Apr 12 2013,7:30p,Boston Celtics,101,Miami Heat,109,Box Score,,19990,,1
Fri Apr 12 2013,8:00p,Memphis Grizzlies,82,Houston Rockets,78,Box Score,,18163,,0
Fri Apr 12 2013,8:00p,Los Angeles Clippers,96,New Orleans Hornets,93,Box Score,,15206,,0
Fri Apr 12 2013,8:30p,Denver Nuggets,105,Dallas Mavericks,108,Box Score,OT,20368,,1
Fri Apr 12 2013,8:30p,Sacramento Kings,101,San Antonio Spurs,108,Box Score,,18581,,1
Fri Apr 12 2013,9:00p,Minnesota Timberwolves,100,Utah Jazz,107,Box Score,,19609,,1
Fri Apr 12 2013,10:00p,Oklahoma City Thunder,106,Portland Trail Blazers,90,Box Score,,20577,,0
Fri Apr 12 2013,10:30p,Golden State Warriors,116,Los Angeles Lakers,118,Box Score,,18997,,1
Sat Apr 13 2013,7:00p,Milwaukee Bucks,85,Charlotte Bobcats,95,Box Score,,14680,,1
Sat Apr 13 2013,7:00p,Boston Celtics,120,Orlando Magic,88,Box Score,,17422,,0
Sat Apr 13 2013,8:00p,Los Angeles Clippers,91,Memphis Grizzlies,87,Box Score,,18119,,0
Sat Apr 13 2013,8:00p,Phoenix Suns,93,Minnesota Timberwolves,105,Box Score,,16701,,1
Sun Apr 14 2013,1:00p,Chicago Bulls,93,Miami Heat,105,Box Score,,19810,,1
Sun Apr 14 2013,3:30p,Indiana Pacers,80,New York Knicks,90,Box Score,,19033,,1
Sun Apr 14 2013,3:30p,Cleveland Cavaliers,77,Philadelphia 76ers,91,Box Score,,18764,,1
Sun Apr 14 2013,3:30p,Brooklyn Nets,87,Toronto Raptors,93,Box Score,,17617,,1
Sun Apr 14 2013,5:00p,Portland Trail Blazers,109,Denver Nuggets,118,Box Score,,19155,,1
Sun Apr 14 2013,6:00p,Dallas Mavericks,107,New Orleans Hornets,89,Box Score,,17246,,0
Sun Apr 14 2013,7:00p,Sacramento Kings,100,Houston Rockets,121,Box Score,,18138,,1
Sun Apr 14 2013,9:30p,San Antonio Spurs,86,Los Angeles Lakers,91,Box Score,,18997,,1
Mon Apr 15 2013,7:00p,New York Knicks,95,Charlotte Bobcats,106,Box Score,,15238,,1
Mon Apr 15 2013,7:00p,Miami Heat,96,Cleveland Cavaliers,95,Box Score,,19091,,0
Mon Apr 15 2013,7:00p,Chicago Bulls,102,Orlando Magic,84,Box Score,,17297,,0
Mon Apr 15 2013,7:30p,Washington Wizards,101,Brooklyn Nets,106,Box Score,,16774,,1
Mon Apr 15 2013,7:30p,Philadelphia 76ers,101,Detroit Pistons,109,Box Score,,17525,,1
Mon Apr 15 2013,8:00p,Memphis Grizzlies,103,Dallas Mavericks,97,Box Score,,19833,,0
Mon Apr 15 2013,8:00p,Denver Nuggets,112,Milwaukee Bucks,111,Box Score,,16517,,0
Mon Apr 15 2013,8:00p,Utah Jazz,96,Minnesota Timberwolves,80,Box Score,,17009,,0
Mon Apr 15 2013,8:00p,Sacramento Kings,95,Oklahoma City Thunder,104,Box Score,,18203,,1
Mon Apr 15 2013,10:00p,Houston Rockets,112,Phoenix Suns,119,Box Score,,17135,,1
Mon Apr 15 2013,10:30p,San Antonio Spurs,106,Golden State Warriors,116,Box Score,,19596,,1
Tue Apr 16 2013,8:00p,Toronto Raptors,113,Atlanta Hawks,96,Box Score,,15200,,0
Tue Apr 16 2013,10:30p,Portland Trail Blazers,77,Los Angeles Clippers,93,Box Score,,19183,,1
Wed Apr 17 2013,8:00p,Detroit Pistons,99,Brooklyn Nets,103,Box Score,,16868,,1
Wed Apr 17 2013,8:00p,Cleveland Cavaliers,98,Charlotte Bobcats,105,Box Score,,13487,,1
Wed Apr 17 2013,8:00p,Washington Wizards,92,Chicago Bulls,95,Box Score,,22421,,1
Wed Apr 17 2013,8:00p,New Orleans Hornets,87,Dallas Mavericks,99,Box Score,,19973,,1
Wed Apr 17 2013,8:00p,Phoenix Suns,98,Denver Nuggets,118,Box Score,,17539,,1
Wed Apr 17 2013,8:00p,Philadelphia 76ers,105,Indiana Pacers,95,Box Score,,18165,,0
Wed Apr 17 2013,8:00p,Utah Jazz,70,Memphis Grizzlies,86,Box Score,,16777,,1
Wed Apr 17 2013,8:00p,Orlando Magic,93,Miami Heat,105,Box Score,,19949,,1
Wed Apr 17 2013,8:00p,Atlanta Hawks,92,New York Knicks,98,Box Score,,19033,,1
Wed Apr 17 2013,8:00p,Milwaukee Bucks,95,Oklahoma City Thunder,89,Box Score,,18203,,0
Wed Apr 17 2013,8:00p,Minnesota Timberwolves,108,San Antonio Spurs,95,Box Score,,18581,,0
Wed Apr 17 2013,8:00p,Boston Celtics,90,Toronto Raptors,114,Box Score,,17690,,1
Wed Apr 17 2013,10:30p,Houston Rockets,95,Los Angeles Lakers,99,Box Score,OT,18997,,1
Wed Apr 17 2013,10:30p,Golden State Warriors,99,Portland Trail Blazers,88,Box Score,,20261,,0
Wed Apr 17 2013,10:30p,Los Angeles Clippers,112,Sacramento Kings,108,Box Score,,17317,,0
Sat Apr 20 2013,3:00p,Boston Celtics,78,New York Knicks,85,Box Score,,19033,,1
Sat Apr 20 2013,7:30p,Golden State Warriors,95,Denver Nuggets,97,Box Score,,19155,,1
Sat Apr 20 2013,8:00p,Chicago Bulls,89,Brooklyn Nets,106,Box Score,,17732,,1
Sat Apr 20 2013,1:30a,Memphis Grizzlies,91,Los Angeles Clippers,112,Box Score,,19373,,1
Sun Apr 21 2013,1:00p,Atlanta Hawks,90,Indiana Pacers,107,Box Score,,18165,,1
Sun Apr 21 2013,4:30p,Los Angeles Lakers,79,San Antonio Spurs,91,Box Score,,18581,,1
Sun Apr 21 2013,7:00p,Milwaukee Bucks,87,Miami Heat,110,Box Score,,20006,,1
Sun Apr 21 2013,10:30p,Houston Rockets,91,Oklahoma City Thunder,120,Box Score,,18203,,1
Mon Apr 22 2013,8:00p,Chicago Bulls,90,Brooklyn Nets,82,Box Score,,17732,,0
Mon Apr 22 2013,1:30a,Memphis Grizzlies,91,Los Angeles Clippers,93,Box Score,,19276,,1
Tue Apr 23 2013,7:30p,Milwaukee Bucks,86,Miami Heat,98,Box Score,,20097,,1
Tue Apr 23 2013,8:00p,Boston Celtics,71,New York Knicks,87,Box Score,,19033,,1
Tue Apr 23 2013,12:30a,Golden State Warriors,131,Denver Nuggets,117,Box Score,,19155,,0
Wed Apr 24 2013,7:30p,Atlanta Hawks,98,Indiana Pacers,113,Box Score,,18165,,1
Wed Apr 24 2013,8:00p,Houston Rockets,102,Oklahoma City Thunder,105,Box Score,,18203,,1
Wed Apr 24 2013,10:30p,Los Angeles Lakers,91,San Antonio Spurs,102,Box Score,,18581,,1
Thu Apr 25 2013,8:00p,Miami Heat,104,Milwaukee Bucks,91,Box Score,,18165,,0
Thu Apr 25 2013,9:30p,Brooklyn Nets,76,Chicago Bulls,79,Box Score,,21672,,1
Thu Apr 25 2013,10:30p,Los Angeles Clippers,82,Memphis Grizzlies,94,Box Score,,18119,,1
Fri Apr 26 2013,8:00p,New York Knicks,90,Boston Celtics,76,Box Score,,18624,,0
Fri Apr 26 2013,1:30a,Denver Nuggets,108,Golden State Warriors,110,Box Score,,19596,,1
Fri Apr 26 2013,1:30a,San Antonio Spurs,120,Los Angeles Lakers,89,Box Score,,18997,,0
Sat Apr 27 2013,3:00p,Brooklyn Nets,134,Chicago Bulls,142,Box Score,3OT,21758,,1
Sat Apr 27 2013,5:30p,Los Angeles Clippers,83,Memphis Grizzlies,104,Box Score,,18119,,1
Sat Apr 27 2013,7:00p,Indiana Pacers,69,Atlanta Hawks,90,Box Score,,18238,,1
Sat Apr 27 2013,10:30p,Oklahoma City Thunder,104,Houston Rockets,101,Box Score,,18163,,0
Sun Apr 28 2013,1:00p,New York Knicks,90,Boston Celtics,97,Box Score,OT,18624,,1
Sun Apr 28 2013,4:30p,Miami Heat,88,Milwaukee Bucks,77,Box Score,,18717,,0
Sun Apr 28 2013,10:00p,San Antonio Spurs,103,Los Angeles Lakers,82,Box Score,,18997,,0
Sun Apr 28 2013,12:30a,Denver Nuggets,101,Golden State Warriors,115,Box Score,,19596,,1
Mon Apr 29 2013,7:00p,Chicago Bulls,91,Brooklyn Nets,110,Box Score,,17732,,1
Mon Apr 29 2013,7:30p,Indiana Pacers,91,Atlanta Hawks,102,Box Score,,18241,,1
Mon Apr 29 2013,10:30p,Oklahoma City Thunder,103,Houston Rockets,105,Box Score,,18081,,1
Tue Apr 30 2013,10:00p,Golden State Warriors,100,Denver Nuggets,107,Box Score,,19155,,1
Tue Apr 30 2013,1:30a,Memphis Grizzlies,103,Los Angeles Clippers,93,Box Score,,19384,,0
Wed May 1 2013,7:00p,Boston Celtics,92,New York Knicks,86,Box Score,,19033,,0
Wed May 1 2013,8:00p,Atlanta Hawks,83,Indiana Pacers,106,Box Score,,18165,,1
Wed May 1 2013,10:30p,Houston Rockets,107,Oklahoma City Thunder,100,Box Score,,18203,,0
Thu May 2 2013,9:00p,Brooklyn Nets,95,Chicago Bulls,92,Box Score,,21810,,0
Thu May 2 2013,1:30a,Denver Nuggets,88,Golden State Warriors,92,Box Score,,19596,,1
Fri May 3 2013,7:00p,New York Knicks,88,Boston Celtics,80,Box Score,,18624,,0
Fri May 3 2013,7:00p,Indiana Pacers,81,Atlanta Hawks,73,Box Score,,18238,,0
Fri May 3 2013,10:30p,Oklahoma City Thunder,103,Houston Rockets,94,Box Score,,18357,,0
Fri May 3 2013,10:30p,Los Angeles Clippers,105,Memphis Grizzlies,118,Box Score,,18119,,1
Sat May 4 2013,8:00p,Chicago Bulls,99,Brooklyn Nets,93,Box Score,,17732,,0
Sun May 5 2013,2:00p,Memphis Grizzlies,91,Oklahoma City Thunder,93,Box Score,,18203,,1
Sun May 5 2013,3:30p,Indiana Pacers,102,New York Knicks,95,Box Score,,19033,,0
Mon May 6 2013,7:00p,Chicago Bulls,93,Miami Heat,86,Box Score,,19685,,0
Mon May 6 2013,10:30p,Golden State Warriors,127,San Antonio Spurs,129,Box Score,2OT,18581,,1
Tue May 7 2013,7:00p,Indiana Pacers,79,New York Knicks,105,Box Score,,19033,,1
Tue May 7 2013,10:30p,Memphis Grizzlies,99,Oklahoma City Thunder,93,Box Score,,18203,,0
Wed May 8 2013,7:00p,Chicago Bulls,78,Miami Heat,115,Box Score,,19817,,1
Wed May 8 2013,10:30p,Golden State Warriors,100,San Antonio Spurs,91,Box Score,,18581,,0
Fri May 10 2013,9:00p,Miami Heat,104,Chicago Bulls,94,Box Score,,22675,,0
Fri May 10 2013,1:30a,San Antonio Spurs,102,Golden State Warriors,92,Box Score,,19596,,0
Sat May 11 2013,6:00p,Oklahoma City Thunder,81,Memphis Grizzlies,87,Box Score,,18119,,1
Sat May 11 2013,8:00p,New York Knicks,71,Indiana Pacers,82,Box Score,,18165,,1
Sun May 12 2013,6:30p,San Antonio Spurs,87,Golden State Warriors,97,Box Score,OT,19596,,1
Mon May 13 2013,8:00p,Miami Heat,88,Chicago Bulls,65,Box Score,,21990,,0
Mon May 13 2013,10:30p,Oklahoma City Thunder,97,Memphis Grizzlies,103,Box Score,OT,18119,,1
Tue May 14 2013,7:00p,New York Knicks,82,Indiana Pacers,93,Box Score,,18165,,1
Tue May 14 2013,10:30p,Golden State Warriors,91,San Antonio Spurs,109,Box Score,,18581,,1
Wed May 15 2013,7:00p,Chicago Bulls,91,Miami Heat,94,Box Score,,20025,,1
Wed May 15 2013,10:30p,Memphis Grizzlies,88,Oklahoma City Thunder,84,Box Score,,18203,,0
Thu May 16 2013,8:00p,Indiana Pacers,75,New York Knicks,85,Box Score,,19033,,1
Thu May 16 2013,1:30a,San Antonio Spurs,94,Golden State Warriors,82,Box Score,,19596,,0
Sat May 18 2013,8:00p,New York Knicks,99,Indiana Pacers,106,Box Score,,18165,,1
Sun May 19 2013,4:30p,Memphis Grizzlies,83,San Antonio Spurs,105,Box Score,,18581,,1
Tue May 21 2013,10:00p,Memphis Grizzlies,89,San Antonio Spurs,93,Box Score,OT,18581,,1
Wed May 22 2013,8:30p,Indiana Pacers,102,Miami Heat,103,Box Score,OT,19679,,1
Fri May 24 2013,8:30p,Indiana Pacers,97,Miami Heat,93,Box Score,,20022,,0
Sat May 25 2013,10:00p,San Antonio Spurs,104,Memphis Grizzlies,93,Box Score,OT,18119,,0
Sun May 26 2013,8:30p,Miami Heat,114,Indiana Pacers,96,Box Score,,18165,,0
Mon May 27 2013,10:00p,San Antonio Spurs,93,Memphis Grizzlies,86,Box Score,,18119,,0
Tue May 28 2013,8:30p,Miami Heat,92,Indiana Pacers,99,Box Score,,18165,,1
Thu May 30 2013,8:30p,Indiana Pacers,79,Miami Heat,90,Box Score,,19913,,1
Sat Jun 1 2013,8:30p,Miami Heat,77,Indiana Pacers,91,Box Score,,18165,,1
Mon Jun 3 2013,8:30p,Indiana Pacers,76,Miami Heat,99,Box Score,,20025,,1
Thu Jun 6 2013,9:00p,San Antonio Spurs,92,Miami Heat,88,Box Score,,19775,,0
Sun Jun 9 2013,8:00p,San Antonio Spurs,84,Miami Heat,103,Box Score,,19900,,1
Tue Jun 11 2013,10:00p,Miami Heat,77,San Antonio Spurs,113,Box Score,,18581,,1
Thu Jun 13 2013,10:00p,Miami Heat,109,San Antonio Spurs,93,Box Score,,18581,,0
Sun Jun 16 2013,9:00p,Miami Heat,104,San Antonio Spurs,114,Box Score,,18581,,1
Tue Jun 18 2013,9:00p,San Antonio Spurs,100,Miami Heat,103,Box Score,OT,19900,,1
Thu Jun 20 2013,9:00p,San Antonio Spurs,88,Miami Heat,95,Box Score,,19900,,1
Tue Oct 29 2013,7:00p,Orlando Magic,87,Indiana Pacers,97,Box Score,,18165,,1
Tue Oct 29 2013,8:00p,Chicago Bulls,95,Miami Heat,107,Box Score,,19964,,1
Tue Oct 29 2013,10:30p,Los Angeles Clippers,103,Los Angeles Lakers,116,Box Score,,18997,,1
